iri,label,definition_original,definition_enriched
https://www.commoncoreontologies.org/ont00001242,Actuator,A Transducer that is designed to convert some control signal into mechanical motion.,Actuator is a Transducer that is designed to convert some control signal into mechanical motion.
https://www.commoncoreontologies.org/ont00000524,Air Conditioning Unit,A Cooling System that is designed to remove excess heat and humidity from the air in an enclosed space.,Air Conditioning Unit is a Cooling System that is designed to remove excess heat and humidity from the air in an enclosed space.
https://www.commoncoreontologies.org/ont00000111,Air Inlet,A Fluid Control Artifact that consists of an opening that is designed to capture and direct the flow of air into the system it is part of.,Air Inlet is a Fluid Control Artifact that consists of an opening that is designed to capture and direct the flow of air into the system it is part of.
https://www.commoncoreontologies.org/ont00001083,Air-Breathing Combustion Engine,"A Reaction Engine that functions by drawing a continuous stream of air into and through the Engine where it is compressed, mixed with a Portion of Fuel, ignited, and then expelled as exhaust gas.","Air-Breathing Combustion Engine is a Reaction Engine that functions by drawing a continuous stream of air into and through the Engine where it is compressed, mixed with a Portion of Fuel, ignited, and then expelled as exhaust gas."
https://www.commoncoreontologies.org/ont00000294,Air-Breathing Jet Engine,A Jet Engine that is propelled by a jet of hot exhaust gases formed from air that is drawn into the Engine via an Air Inlet.,Air-Breathing Jet Engine is a Jet Engine that is propelled by a jet of hot exhaust gases formed from air that is drawn into the Engine via an Air Inlet.
https://www.commoncoreontologies.org/ont00001043,Aircraft,"A Vehicle that is designed to convey passengers, cargo, or equipment from one location to another by air travel.","Aircraft is a Vehicle that is designed to convey passengers, cargo, or equipment from one location to another by air travel."
https://www.commoncoreontologies.org/ont00001229,Alkaline Electric Battery,A Primary Cell Electric Battery that has a Zinc anode and Manganese (IV) oxide cathode.,Alkaline Electric Battery is a Primary Cell Electric Battery that has a Zinc anode and Manganese (IV) oxide cathode.
https://www.commoncoreontologies.org/ont00000302,Alternating Current Power Source,An Electrical Power Source that is designed to transfer electrical power in the form of alternating current.,Alternating Current Power Source is an Electrical Power Source that is designed to transfer electrical power in the form of alternating current.
https://www.commoncoreontologies.org/ont00000671,Anti-Bacterial Artifact Function,"An Anti-Microbial Artifact Function that is realized in a process which causes harm to, or the death of, some bacterium.","Anti-Bacterial Artifact Function is an Anti-Microbial Artifact Function that is realized in a process which causes harm to, or the death of, some bacterium."
https://www.commoncoreontologies.org/ont00000415,Anti-Microbial Artifact Function,"A Pesticide Artifact Function that is realized in a process which causes illness in, or the death of, a microorganism.","Anti-Microbial Artifact Function is a Pesticide Artifact Function that is realized in a process which causes illness in, or the death of, a microorganism."
